14	17	36-21
14	18	36-23
14	19	31-30
14	20	31-32
14	21	31-34
14	22	31-36
14	23	31-38
14	24	31-40
14	25	35-32
14	26	35-34
14	27	35-36
14	28	35-38
14	29	35-40
14	30	31-24
14	31	31-26
14	32	31-28
15	1	40-25
15	2	40-27
15	3	40-29
15	4	40-31
15	5	40-33
15	6	40-35
15	7	40-37
15	8	40-39
15	9	40-21
15	10	40-23
15	11	39-30
15	12	39-32
15	13	39-34
15	14	39-36
15	15	39-38
15	16	39-40
15	17	39-22
15	18	39-24
15	19	39-26
15	20	39-28
15	21	38-33
15	22	38-35
15	23	38-37
15	24	38-39
15	25	38-21
15	26	38-23
15	27	38-25
15	28	38-27
15	29	38-29
15	30	38-31
15	31	37-38
15	32	37-40
16	1	S57
16	2	S58
16	3	S49
16	4	S50
16	5	S41
16	6	S42
16	7	S33
16	8	S34
16	9	S25
16	10	S26
16	11	S17
16	12	S18
16	13	S9
16	14	S10
16	15	S1
16	16	S2
16	17	S59
16	18	S60
16	19	S51
16	20	S52
16	21	S43
16	22	S44
16	23	S35
16	24	S36
16	25	S27
16	26	S28
16	27	S19
16	28	S20
16	29	S11
16	30	S12
16	31	S3
16	32	S4
17	1	S61
17	2	S62
17	3	S53
17	4	S54
17	5	S45
17	6	S46
17	7	S37
17	8	S38
17	9	S29
17	10	S30
17	11	S21
17	12	S22
17	13	S13
17	14	S14
17	15	S5
17	16	S6
17	17	S63
17	18	S64
17	19	S55
17	20	S56
17	21	S47
17	22	S48
17	23	S39
17	24	S40
17	25	S31
17	26	S32
17	27	S23
17	28	S24
17	29	S15
17	30	S16
17	31	S7
17	32	S8
18	1	C57
18	2	C58
18	3	C49
18	4	C50
18	5	C41
18	6	C42
18	7	C33
18	8	C34
18	9	C25
18	10	C26
18	11	C17
18	12	C18
18	13	C9
18	14	C10
18	15	C1
18	16	C2
18	17	C59
18	18	C60
18	19	C51
18	20	C52
18	21	C43
18	22	C44
18	23	C35
18	24	C36
18	25	C27
18	26	C28
18	27	C19
18	28	C20
18	29	C11
18	30	C12
18	31	C3
18	32	C4
19	1	C61
19	2	C62
19	3	C53
19	4	C54
19	5	C45
19	6	C46
19	7	C37
19	8	C38
19	9	C29
19	10	C30
19	11	C21
19	12	C22
19	13	C13
19	14	C14
19	15	C5
19	16	C6
19	17	C63
19	18	C64
19	19	C55
19	20	C56
19	21	C47
19	22	C48
19	23	C39
19	24	C40
19	25	C31
19	26	C32
19	27	C23
19	28	C24
19	29	C15
19	30	C16
19	31	C7
19	32	C8
20	1	LC1
20	2	LC2
20	3	LC3
20	4	LC4
20	5	LC5
20	6	LC6
20	7	LC7
20	8	LC8
20	9	LC9
20	10	LC10
20	11	LC11
20	12	LC12
20	13	LC13
20	14	LC14
20	15	LC15
20	16	null
20	17	DWC1L
20	18	DWC1R
20	19	DWC1U
20	20	DWC1D
20	21	DWC2L
20	22	DWC2R
20	23	DWC2U
20	24	DWC2D
20	25	null
20	26	PS
20	27	null
20	28	TC
20	29	null
20	30	MC
20	31	null
20	32	null
