33-22	3	0	2	13
33-24	3	0	4	13
33-26	3	0	6	13
33-28	3	0	8	13
33-30	3	0	10	13
33-32	3	0	12	13
33-34	3	0	14	13
33-36	3	0	16	13
M5-T1-S	1	0	0	0
M5-T2-S	1	0	0	0
M5-T4-S	1	0	0	0
M5-T1-C	1	1	0	0
M5-T2-C	1	1	0	0
M5-T4-C	1	1	0	0
M5-T3-S	1	0	0	0
M5-T3-C	1	1	0	0
24-26	3	1	6	4
24-28	3	1	8	4
24-30	3	1	10	4
24-32	3	1	12	4
24-34	3	1	14	4
24-36	3	1	16	4
24-38	3	1	18	4
24-40	3	1	20	4
36-40	3	1	20	16
28-36	3	1	16	8
28-38	3	1	18	8
38-22	3	1	2	18
38-24	3	1	4	18
38-26	3	1	6	18
38-28	3	1	8	18
38-30	3	1	10	18
28-28	3	1	8	8
28-30	3	1	10	8
28-32	3	1	12	8
39-31	3	1	11	19
39-33	3	1	13	19
39-35	3	1	15	19
39-37	3	1	17	19
39-39	3	1	19	19
28-22	3	1	2	8
28-24	3	1	4	8
28-26	3	1	6	8
39-21	3	1	1	19
39-23	3	1	3	19
39-25	3	1	5	19
39-27	3	1	7	19
39-29	3	1	9	19
27-25	3	1	5	7
27-27	3	1	7	7
27-29	3	1	9	7
27-31	3	1	11	7
27-33	3	1	13	7
27-35	3	1	15	7
27-37	3	1	17	7
27-39	3	1	19	7
30-22	3	1	2	10
29-37	3	1	17	9
29-39	3	1	19	9
21-21	3	1	1	1
21-23	3	1	3	1
21-25	3	1	5	1
21-27	3	1	7	1
21-29	3	1	9	1
29-31	3	1	11	9
29-33	3	1	13	9
29-35	3	1	15	9
22-32	3	1	12	2
22-34	3	1	14	2
22-36	3	1	16	2
22-38	3	1	18	2
22-40	3	1	20	2
29-25	3	1	5	9
29-27	3	1	7	9
29-29	3	1	9	9
22-22	3	1	2	2
22-24	3	1	4	2
22-26	3	1	6	2
22-28	3	1	8	2
22-30	3	1	10	2
29-21	3	1	1	9
29-23	3	1	3	9
28-40	3	1	20	8
38-32	3	1	12	18
38-34	3	1	14	18
38-36	3	1	16	18
38-38	3	1	18	18
38-40	3	1	20	18
32-22	3	1	2	12
32-24	3	1	4	12
32-26	3	1	6	12
32-28	3	1	8	12
32-30	3	1	10	12
32-32	3	1	12	12
32-34	3	1	14	12
32-36	3	1	16	12
30-36	3	1	16	10
30-38	3	1	18	10
30-40	3	1	20	10
40-32	3	1	12	20
40-34	3	1	14	20
40-36	3	1	16	20
40-38	3	1	18	20
40-40	3	1	20	20
30-30	3	1	10	10
30-32	3	1	12	10
30-34	3	1	14	10
40-22	3	1	2	20
40-24	3	1	4	20
40-26	3	1	6	20
40-28	3	1	8	20
40-30	3	1	10	20
30-24	3	1	4	10
30-26	3	1	6	10
30-28	3	1	8	10
21-31	3	1	11	1
21-33	3	1	13	1
21-35	3	1	15	1
21-37	3	1	17	1
21-39	3	1	19	1
35-25	3	1	5	15
35-27	3	1	7	15
35-29	3	1	9	15
35-31	3	1	11	15
35-33	3	1	13	15
35-35	3	1	15	15
35-37	3	1	17	15
35-39	3	1	19	15
35-21	3	1	1	15
35-23	3	1	3	15
34-30	3	1	10	14
34-32	3	1	12	14
34-34	3	1	14	14
34-36	3	1	16	14
34-38	3	1	18	14
34-40	3	1	20	14
34-22	3	1	2	14
34-24	3	1	4	14
34-26	3	1	6	14
34-28	3	1	8	14
33-33	3	1	13	13
33-35	3	1	15	13
33-37	3	1	17	13
33-39	3	1	19	13
33-21	3	1	1	13
33-23	3	1	3	13
33-25	3	1	5	13
33-27	3	1	7	13
33-29	3	1	9	13
33-31	3	1	11	13
32-38	3	1	18	12
32-40	3	1	20	12
28-34	3	1	14	8
24-22	3	1	2	4
24-24	3	1	4	4
36-30	3	1	10	16
36-32	3	1	12	16
36-34	3	1	14	16
36-36	3	1	16	16
36-38	3	1	18	16
31-33	3	1	13	11
31-35	3	1	15	11
31-37	3	1	17	11
31-39	3	1	19	11
36-22	3	1	2	16
36-24	3	1	4	16
36-26	3	1	6	16
36-28	3	1	8	16
31-21	3	1	1	11
31-23	3	1	3	11
31-25	3	1	5	11
31-27	3	1	7	11
31-29	3	1	9	11
31-31	3	1	11	11
37-37	3	1	17	17
37-39	3	1	19	17
37-21	3	1	1	17
37-23	3	1	3	17
37-25	3	1	5	17
37-27	3	1	7	17
37-29	3	1	9	17
37-31	3	1	11	17
37-33	3	1	13	17
37-35	3	1	15	17
26-25	3	0	5	6
26-27	3	0	7	6
26-29	3	0	9	6
26-31	3	0	11	6
26-33	3	0	13	6
26-35	3	0	15	6
26-37	3	0	17	6
26-39	3	0	19	6
26-21	3	0	1	6
26-23	3	0	3	6
29-30	3	0	10	9
29-32	3	0	12	9
29-34	3	0	14	9
29-36	3	0	16	9
29-38	3	0	18	9
29-40	3	0	20	9
29-22	3	0	2	9
29-24	3	0	4	9
29-26	3	0	6	9
29-28	3	0	8	9
28-33	3	0	13	8
28-35	3	0	15	8
28-37	3	0	17	8
28-39	3	0	19	8
28-21	3	0	1	8
28-23	3	0	3	8
28-25	3	0	5	8
28-27	3	0	7	8
28-29	3	0	9	8
28-31	3	0	11	8
33-38	3	0	18	13
33-40	3	0	20	13
27-22	3	0	2	7
27-24	3	0	4	7
25-30	3	0	10	5
25-32	3	0	12	5
25-34	3	0	14	5
25-36	3	0	16	5
25-38	3	0	18	5
25-40	3	0	20	5
25-22	3	0	2	5
25-24	3	0	4	5
25-26	3	0	6	5
25-28	3	0	8	5
24-33	3	0	13	4
24-35	3	0	15	4
24-37	3	0	17	4
24-39	3	0	19	4
24-21	3	0	1	4
24-23	3	0	3	4
24-25	3	0	5	4
24-27	3	0	7	4
24-29	3	0	9	4
24-31	3	0	11	4
21-38	3	0	18	1
21-40	3	0	20	1
21-22	3	0	2	1
21-24	3	0	4	1
21-26	3	0	6	1
21-28	3	0	8	1
21-30	3	0	10	1
21-32	3	0	12	1
21-34	3	0	14	1
21-36	3	0	16	1
32-21	3	0	1	12
32-23	3	0	3	12
32-25	3	0	5	12
32-27	3	0	7	12
32-29	3	0	9	12
23-34	3	0	14	3
23-36	3	0	16	3
23-38	3	0	18	3
23-22	3	0	2	3
23-24	3	0	4	3
23-26	3	0	6	3
23-28	3	0	8	3
23-30	3	0	10	3
23-32	3	0	12	3
22-37	3	0	17	2
22-39	3	0	19	2
22-21	3	0	1	2
22-23	3	0	3	2
22-25	3	0	5	2
22-27	3	0	7	2
22-29	3	0	9	2
22-31	3	0	11	2
22-33	3	0	13	2
22-35	3	0	15	2
27-26	3	0	6	7
27-28	3	0	8	7
27-30	3	0	10	7
27-32	3	0	12	7
27-34	3	0	14	7
27-36	3	0	16	7
27-38	3	0	18	7
27-40	3	0	20	7
35-22	3	0	2	15
35-24	3	0	4	15
35-26	3	0	6	15
35-28	3	0	8	15
35-30	3	0	10	15
31-22	3	0	2	11
30-37	3	0	17	10
30-39	3	0	19	10
34-31	3	0	11	14
34-33	3	0	13	14
34-35	3	0	15	14
34-37	3	0	17	14
34-39	3	0	19	14
30-31	3	0	11	10
30-33	3	0	13	10
30-35	3	0	15	10
34-21	3	0	1	14
34-23	3	0	3	14
34-25	3	0	5	14
34-27	3	0	7	14
34-29	3	0	9	14
30-25	3	0	5	10
30-27	3	0	7	10
30-29	3	0	9	10
32-31	3	0	11	12
32-33	3	0	13	12
32-35	3	0	15	12
32-37	3	0	17	12
32-39	3	0	19	12
30-21	3	0	1	10
30-23	3	0	3	10
23-40	3	0	20	3
37-22	3	0	2	17
37-24	3	0	4	17
37-26	3	0	6	17
37-28	3	0	8	17
37-30	3	0	10	17
37-32	3	0	12	17
37-34	3	0	14	17
37-36	3	0	16	17
36-25	3	0	5	16
36-27	3	0	7	16
36-29	3	0	9	16
36-31	3	0	11	16
36-33	3	0	13	16
36-35	3	0	15	16
36-37	3	0	17	16
36-39	3	0	19	16
36-21	3	0	1	16
36-23	3	0	3	16
31-30	3	0	10	11
31-32	3	0	12	11
31-34	3	0	14	11
31-36	3	0	16	11
31-38	3	0	18	11
31-40	3	0	20	11
35-32	3	0	12	15
35-34	3	0	14	15
35-36	3	0	16	15
35-38	3	0	18	15
35-40	3	0	20	15
31-24	3	0	4	11
31-26	3	0	6	11
31-28	3	0	8	11
40-25	3	0	5	20
40-27	3	0	7	20
40-29	3	0	9	20
40-31	3	0	11	20
40-33	3	0	13	20
40-35	3	0	15	20
40-37	3	0	17	20
40-39	3	0	19	20
40-21	3	0	1	20
40-23	3	0	3	20
39-30	3	0	10	19
39-32	3	0	12	19
39-34	3	0	14	19
39-36	3	0	16	19
39-38	3	0	18	19
39-40	3	0	20	19
39-22	3	0	2	19
39-24	3	0	4	19
39-26	3	0	6	19
39-28	3	0	8	19
38-33	3	0	13	18
38-35	3	0	15	18
38-37	3	0	17	18
38-39	3	0	19	18
38-21	3	0	1	18
38-23	3	0	3	18
38-25	3	0	5	18
38-27	3	0	7	18
38-29	3	0	9	18
38-31	3	0	11	18
37-38	3	0	18	17
37-40	3	0	20	17
S57	2	0	1	1
S58	2	0	1	2
S49	2	0	2	1
S50	2	0	2	2
S41	2	0	3	1
S42	2	0	3	2
S33	2	0	4	1
S34	2	0	4	2
S25	2	0	5	1
S26	2	0	5	2
S17	2	0	6	1
S18	2	0	6	2
S9	2	0	7	1
S10	2	0	7	2
S1	2	0	8	1
S2	2	0	8	2
S59	2	0	1	3
S60	2	0	1	4
S51	2	0	2	3
S52	2	0	2	4
S43	2	0	3	3
S44	2	0	3	4
S35	2	0	4	3
S36	2	0	4	4
S27	2	0	5	3
S28	2	0	5	4
S19	2	0	6	3
S20	2	0	6	4
S11	2	0	7	3
S12	2	0	7	4
S3	2	0	8	3
S4	2	0	8	4
S61	2	0	1	5
S62	2	0	1	6
S53	2	0	2	5
S54	2	0	2	6
S45	2	0	3	5
S46	2	0	3	6
S37	2	0	4	5
S38	2	0	4	6
S29	2	0	5	5
S30	2	0	5	6
S21	2	0	6	5
S22	2	0	6	6
S13	2	0	7	5
S14	2	0	7	6
S5	2	0	8	5
S6	2	0	8	6
S63	2	0	1	7
S64	2	0	1	8
S55	2	0	2	7
S56	2	0	2	8
S47	2	0	3	7
S48	2	0	3	8
S39	2	0	4	7
S40	2	0	4	8
S31	2	0	5	7
S32	2	0	5	8
S23	2	0	6	7
S24	2	0	6	8
S15	2	0	7	7
S16	2	0	7	8
S7	2	0	8	7
S8	2	0	8	8
C57	2	1	1	1
C58	2	1	1	2
C49	2	1	2	1
C50	2	1	2	2
C41	2	1	3	1
C42	2	1	3	2
C33	2	1	4	1
C34	2	1	4	2
C25	2	1	5	1
C26	2	1	5	2
C17	2	1	6	1
C18	2	1	6	2
C9	2	1	7	1
C10	2	1	7	2
C1	2	1	8	1
C2	2	1	8	2
C59	2	1	1	3
C60	2	1	1	4
C51	2	1	2	3
C52	2	1	2	4
C43	2	1	3	3
C44	2	1	3	4
C35	2	1	4	3
C36	2	1	4	4
C27	2	1	5	3
C28	2	1	5	4
C19	2	1	6	3
C20	2	1	6	4
C11	2	1	7	3
C12	2	1	7	4
C3	2	1	8	3
C4	2	1	8	4
C61	2	1	1	5
C62	2	1	1	6
C53	2	1	2	5
C54	2	1	2	6
C45	2	1	3	5
C46	2	1	3	6
C37	2	1	4	5
C38	2	1	4	6
C29	2	1	5	5
C30	2	1	5	6
C21	2	1	6	5
C22	2	1	6	6
C13	2	1	7	5
C14	2	1	7	6
C5	2	1	8	5
C6	2	1	8	6
C63	2	1	1	7
C64	2	1	1	8
C55	2	1	2	7
C56	2	1	2	8
C47	2	1	3	7
C48	2	1	3	8
C39	2	1	4	7
C40	2	1	4	8
C31	2	1	5	7
C32	2	1	5	8
C23	2	1	6	7
C24	2	1	6	8
C15	2	1	7	7
C16	2	1	7	8
C7	2	1	8	7
C8	2	1	8	8
LC1	0	0	6	1
LC2	0	0	6	2
LC3	0	0	6	3
LC4	0	0	6	4
LC5	0	0	6	5
